Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4283800791,2016-06-16T00:00:00,1239.0,,1205.0,NV,201704.0,,FORD,PA,WT,1010 MAIN ST,00908,51.0,80.69C,PARKED OVER TIME LIM,58.0,6418087.0,1819707.5
4292238576,2016-08-25T00:00:00,1158.0,,,CA,10.0,,OTHR,CM,BN,1110 MAIN ST S,00675,56.0,80.56E4+,RED ZONE,93.0,6483424.2,1836652.2
4343603515,2018-11-15T00:00:00,1307.0,,,CA,3.0,,OTHR,CM,WT,509 BROADWAY S,00600,56.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0
4345761361,2019-01-03T00:00:00,1239.0,,,CA,201809.0,,CHEV,CM,WT,550 HOOVER ST N,00424,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6475536.628543,1851863.228816
4308295994,2017-05-12T00:00:00,1906.0,13,,CA,201803.0,,AUDI,PA,BK,458 NORTH HAYWORTH AVENUE,00207,54.0,80.58L,PREFERENTIAL PARKING,68.0,6451852.207239,1851458.40523
4338640305,2018-10-02T00:00:00,1621.0,,,CA,201806.0,,CHEV,PA,BK,1533 48TH PL E,00500,55.0,80.53,PARKED IN PARKWAY,63.0,6486777.095668,1822242.787872
4278992362,2016-03-16T00:00:00,754.0,,,CA,201604.0,,FORD,PA,RD,4406 MAIN ST S,539BH,55.0,80.69AA+,NO STOP/STAND,93.0,99999.0,99999.0
4317124140,2017-09-27T00:00:00,1843.0,,,CA,201803.0,,CHEV,PA,BK,450 NORMANDIE AVE S,403B,54.0,80.69AP+,NO STOP/STANDING,93.0,6470694.448182,1851030.6211380002
4344437344,2018-12-11T00:00:00,1309.0,,,CA,8.0,,NISS,PA,GY,311 SAN PEDRO ST S,00600,56.0,80.56E4+,RED ZONE,93.0,6488165.747628,1839564.906428
4312364081,2017-07-06T00:00:00,1137.0,,,CA,201703.0,,LEXS,PA,BK,3428 BEETHOVEN STREET,00901,51.0,80.73.2,EXCEED 72HRS-ST,68.0,6425744.936529,1825876.2457060001
